"date","Pixel16500453","Pixel16470453","Pixel16500454","Pixel16470454"
"20-Sep-00",0.063760008,0.112950168,0.083145288,0.01042956
"21-Sep-00",3.429169896,2.95279812,2.863153704,1.99362444
"22-Sep-00",16.25853252,20.087001792,19.756786824,21.063002592
"23-Sep-00",10.880756376,8.408779632,8.730392208,6.271216392
"24-Sep-00",0,0,0,0
"25-Sep-00",16.718071464,17.24742936,18.367335312,17.55411816
"26-Sep-00",8.81754612,8.956840752,7.433420424,8.90469432
"27-Sep-00",1.07136636,1.733863584,1.201542552,2.02035624
"28-Sep-00",0,0,0,0
"29-Sep-00",1.377223128,1.302018096,1.448109528,1.385887296
"30-Sep-00",9.805013904,10.715917824,9.24327636,9.717726936
"01-Oct-00",0.143954136,0.2161044,0.716872704,0.34100808
"02-Oct-00",3.184702992,3.240030168,3.226351968,3.27352452
"03-Oct-00",13.627983576,13.557359208,20.972150808,19.137298104
"04-Oct-00",0.028916928,0.03168264,0,0
"05-Oct-00",0.019615632,0.136654416,0.034740336,0.289683144
"06-Oct-00",3.002938632,2.5853784,2.947259904,2.778411984
"07-Oct-00",0.368270424,0.412925592,0.344369136,0.414758304
"08-Oct-00",0.342468264,0.109834752,0.069219504,0.110333256
"09-Oct-00",10.721740008,13.336702824,10.72002912,13.053932184
"10-Oct-00",12.001606464,12.36998892,11.944234368,12.074469576
"11-Oct-00",0.241023888,0.240409992,0.254177976,0.204940512
"12-Oct-00",0.429502968,0.31336212,0.51318324,0.306973392
"13-Oct-00",0,0,0,0
"14-Oct-00",9.605290896,9.436409712,11.218415736,10.867589232
"15-Oct-00",6.546354528,4.656497232,1.929850464,1.674661512
"16-Oct-00",2.775885888,2.584244016,2.409726984,3.434288256
"17-Oct-00",0.114813504,0.057475968,0.069846912,0.025645752
"18-Oct-00",0.141875424,0.171790248,0.220478832,0.282506184
"19-Oct-00",5.00297784,4.263533952,5.636793144,4.639596096
"20-Oct-00",2.68265712,0.166865928,1.697841696,1.753014912
"21-Oct-00",2.622587088,2.74474704,3.258142584,2.737468776
"22-Oct-00",0,0,0,0
"23-Oct-00",0.011144472,0.014709096,0.010826424,0
"24-Oct-00",1.947289824,2.8518666,2.578336008,2.719507464
"25-Oct-00",0.149105016,0,0,0
"26-Oct-00",8.493626832,6.931569816,8.110215432,8.252256624
"27-Oct-00",21.028292664,12.691533576,21.091494072,12.771586416
"28-Oct-00",0.275807112,0.354099432,0.270156528,0.34675464
"29-Oct-00",34.097697264,32.272622112,34.998324384,30.534218784
"30-Oct-00",26.394049656,24.209435472,26.854605672,27.750203136
"31-Oct-00",5.804017056,5.941170216,5.72274684,5.864022024
"01-Nov-00",9.245586624,7.831681968,16.225586424,8.550574776
"02-Nov-00",15.061562064,14.23981476,17.29133892,15.347562792
"03-Nov-00",0.664476864,0.226171248,0.914175768,0.891862488
"04-Nov-00",0.94305396,1.166085264,0.732592632,0.52544712
"05-Nov-00",1.649605584,0.14771484,0,0.171034848
"06-Nov-00",0.834731424,1.277992032,0.620773176,0.313561176
"07-Nov-00",0.828263184,0.891313968,1.136854392,0.928138296
"08-Nov-00",0.0309888,0.035515752,0.035687808,0.0360402
"09-Nov-00",0.484984104,0.210390168,0.39951624,0.336474888
"10-Nov-00",1.175442864,0.641783328,0.491917272,0.495557832
"11-Nov-00",0.833921232,0.75433668,3.405445944,0.756240336
"12-Nov-00",2.217655776,1.498004256,2.56832868,1.757332392
"13-Nov-00",0,0,0,0
"14-Nov-00",0,0,0,0
