"date","Pixel15780518","Pixel15720516","Pixel15750517","Pixel15750516","Pixel15690516","Pixel15690517","Pixel15720518","Pixel15690518","Pixel15750518","Pixel15750515","Pixel15720515","Pixel15720517","Pixel15690515","Pixel15780517","Pixel15750519"
"08-May-00",3.298765536,1.336090464,1.863022152,4.317730296,1.872785736,0.799850376,0.8329914,0.9933924,2.589031224,2.576927664,1.029842904,0.82834224,0.724635696,3.29876196,5.270880456
"09-May-00",4.81828272,2.832810048,2.821966416,0.766586328,1.201173048,2.494898016,3.162340512,2.978721144,3.259091016,15.532319064,4.624351152,4.11553824,3.22028124,3.526351344,5.896237848
"10-May-00",16.318156248,15.739621632,17.865118512,21.698206896,14.100315576,10.976433984,7.462250952,7.019602056,18.879468432,11.220696696,9.980067024,16.187497608,9.26212836,15.41863776,9.297953376
"11-May-00",12.421995168,8.708520408,9.764578344,9.029738184,9.077483664,9.219266664,11.660381544,11.67482472,11.567294592,10.172514432,7.810586208,10.000052688,8.341626408,13.153244016,12.176025864
"12-May-00",5.999098056,4.062703368,4.885768536,4.42913424,4.089000456,3.342758064,3.400730976,4.475751768,4.907173992,3.188360088,2.56152588,4.77585768,2.581583976,5.980270392,7.257614136
"13-May-00",4.180020696,2.652895512,4.341757536,2.590239288,9.229151496,11.00193072,4.69368732,4.73175252,11.643927816,3.5887878,2.224339128,4.436939472,2.237464968,3.36989988,17.17320012
"14-May-00",3.459045048,4.52125632,5.019664056,4.220984808,6.771675816,5.190573336,9.396081456,4.574605824,2.637491592,3.004984248,3.026169768,5.156427384,3.841617816,3.401806344,4.09710396
"15-May-00",0.699343752,4.799315208,6.388939608,7.428147552,3.326195232,0,3.387923592,0.10677276,6.032117136,0.55780944,0.348583248,0.107185944,0.467298072,0.698658672,1.325784624
"16-May-00",7.658231016,9.565173624,4.488849888,10.430625912,9.459644088,5.778981696,6.2606442,10.346170656,3.54974628,17.8337388,3.234386088,4.111438392,3.202502496,30.123859416,4.727143056
"17-May-00",0,5.283389568,6.300006864,5.875141728,0,0,0,0,0,0.601075488,0.502738464,0,0.436227192,0,0
"18-May-00",10.043808456,12.141986856,13.860224256,10.489336968,14.203827384,13.48867464,13.312043664,13.828692912,11.639306544,11.503450872,13.661479008,12.880238064,14.785095696,8.075438976,12.438151368
"19-May-00",2.445301656,0.833121216,1.021243656,7.41688944,0.830548176,0.988975536,0,0,1.0417488,1.346060688,0.350924832,0.9924996,0,2.819193,0
"20-May-00",0.012462288,0.011549016,0.017777952,0,0.023001168,0.049225368,0.024522816,0.068333592,0.017983872,0.014261544,0.016323096,0.066286968,0,0.062095824,0.018046128
"21-May-00",0.525159264,0,0.161232792,0.089472576,0,0,0,0.294239328,0.065829096,0,0,0.258549552,0.216846216,0.779638848,0.879860136
"22-May-00",0.11783124,0.095082888,0.067737624,0.129601296,0.090873672,0.094047984,0.186554064,0.177178224,0.140171256,0.293825472,0.2317854,0.098957832,0.2241072,0.332425104,0.413965848
"23-May-00",0,0,0,0,0,0,0,0.33080292,0,0,0,0,0,0,0
"24-May-00",0.392842536,0.16936332,0.73691448,0.212889168,0.161789328,0.134311368,0.135897456,0.130940448,0.703800168,0.168943944,0.896846208,0.139559136,0.184873632,0.1732566,0.278146896
"25-May-00",0.45974256,0.145414152,0.174894816,0.12416064,0.14413584,0.162233664,0.19528884,0.164453832,1.16283372,0.274095096,0.141388992,0.163616952,0.263535576,0.406430448,1.67224164
"26-May-00",1.933623792,0.633889272,0.772162992,0.84480204,2.725728576,0.99049464,0.772585896,1.01027628,0.787846056,0.690528768,0.546307224,0.992862312,0.347151216,1.89423912,1.468861344
"27-May-00",2.008492104,1.698096336,2.743659312,2.125802808,1.17729288,1.080804072,1.532481912,1.12467144,2.721652872,2.880004416,2.744171616,1.54633212,0.943556976,1.877933808,2.725053912
"28-May-00",0.440202624,0.088369872,0.299136744,0.418522824,0.0883044,0.064280952,0.06123144,0.061333824,0.224068512,0.603500208,0.132181608,0.064197216,0.346419672,0.050705616,0
"29-May-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-May-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31-May-00",1.34527104,1.699710312,0,0.419113704,1.388366376,1.64584296,0,0,0,0.553172496,1.03903296,1.902804672,1.026955704,7.952560176,0
"01-Jun-00",2.618504592,3.750925896,3.618934392,3.364728576,2.860317,1.944534648,2.452450464,1.990652568,4.98121332,5.006031984,3.04776192,2.483737536,1.844943528,2.297163432,3.65655756
"02-Jun-00",0.746347008,0.718644984,0.845202048,3.583600392,1.056305136,1.136281104,2.062868544,1.607291568,1.159411848,0.969133704,1.115938872,0.843264072,1.008197928,0.800133696,1.141193472
"03-Jun-00",5.545152792,4.01431812,4.800341952,7.2339456,1.864826376,4.089120624,5.708742144,3.991108416,8.479051344,1.269117048,1.22950056,4.326021552,1.461117264,6.4335258,11.2986288
"04-Jun-00",4.768720512,9.04676484,5.993640672,8.57427192,7.961745504,5.645829312,7.944258936,11.714437728,8.297330616,6.807869184,6.6840012,8.421081312,6.077944992,7.068720096,7.667397744
"05-Jun-00",5.020714056,8.184313056,5.529193992,9.160196544,6.172986744,6.163037544,3.365036856,4.960562832,4.014632472,12.61894656,7.213817592,5.325461616,6.573996312,4.79045712,3.181416384
"06-Jun-00",10.288234224,4.01339256,6.793385256,4.196911104,4.628040072,5.19605184,7.94761848,6.525495528,9.751949784,3.011952288,2.6505636,6.616311552,2.924395848,9.342881448,9.416927568
"07-Jun-00",0,0,0,0,0,0,0.05642436,0.050658072,0,0,0,0,0,0,0
"08-Jun-00",0,0.064303944,0,0.083162136,0,0,0,0,0,0.802741176,0,0,0,0,0
"09-Jun-00",0,0,0,0,0,0.183472776,0.183008664,0.186359016,0,0,0,0.180209328,0,0.280812816,0.158992032
"10-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-Jun-00",1.102351152,1.723019592,1.437168528,1.852320672,1.70673948,1.171917384,0.798189096,1.129901016,0.814021728,2.559627408,2.261706768,0.821576448,1.754400912,0.947148168,0.59189496
"14-Jun-00",0,0.043438968,0,0,0.174901128,0.072147048,0,0,0,0.063007896,0.131448816,0,0.25527132,0,0
"15-Jun-00",2.825575584,1.200553704,1.335492432,1.712743344,0.662918472,1.009366488,1.591080312,1.189522584,1.807077696,1.891504872,1.546056744,1.37326884,0.641138976,1.500043104,1.87273908
"16-Jun-00",3.155831328,3.595765824,4.03530084,3.455555328,3.504743088,3.79025352,3.465441576,3.838554024,3.419321904,2.892701616,2.587733568,3.715243944,2.937055704,3.736134408,3.636864432
"17-Jun-00",4.101261384,2.732617728,3.025170912,2.91791136,3.724573728,4.618853688,3.245462904,3.281065824,3.701661936,2.903818848,1.92868548,3.2965554,1.835746056,2.819343216,2.97452616
"18-Jun-00",0,0.10111488,0.012874152,0.146339112,0,0,0.022235376,0,0.011043912,0.242200992,0.262927344,0.01212336,0.21885672,0.060803112,0.106258872
"19-Jun-00",0.36911496,0.36468432,0.372317328,0.297944712,0.365085216,0.363013152,0.51970656,0.38741796,0.484548696,0.375204336,0.443152296,0.44373684,0.443431608,0.3079266,0.625994496
"20-Jun-00",0.050734608,0.0263784,0.0479064,0.044699256,0.025464216,0,0,0,0.055598352,0.142389384,0.035770032,0,0.010565592,0.021889512,0.057771168
"21-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26-Jun-00",0.233837064,0.621334752,0,0,0.859177968,0.91946304,0.600845448,0.708407976,0,0,0.568025568,0.603592824,0.630313944,0.227599272,0
"27-Jun-00",5.08710336,3.662842512,4.525281072,4.301982528,1.751872128,1.70757204,2.076189816,1.54758132,1.928952816,2.74999416,3.010151256,1.968440304,1.513156584,4.706962464,1.899600864
"28-Jun-00",1.260470784,2.349561984,1.420018128,1.393092432,5.33546592,4.018743744,4.387675512,4.60198188,3.130371456,1.470434904,1.02427956,5.5168326,2.86512888,1.200872808,2.509364256
"29-Jun-00",4.706227176,8.063320392,2.650922112,4.817625768,5.630521416,9.123822936,2.575780392,2.56153428,2.691908424,2.326925928,2.277911064,6.436409712,1.651392648,4.630353576,2.719261224
"30-Jun-00",0.94255032,1.582514232,1.88051052,1.644196104,3.986766096,0.83867892,0.855801072,0.851067792,0.89438448,1.851075048,1.812083592,0.843275688,3.118592616,0.927354552,0.903472416
"01-Jul-00",2.60298192,5.157234912,1.792074144,1.828065096,3.715423824,3.902955648,3.709811568,0.08701908,1.76038224,3.319879536,2.797438152,15.772114272,2.678566944,2.611276752,8.841792576
"02-Jul-00",0.448014504,0.28765944,0.461858112,0.631310952,0.199405896,0.153743304,0.1467132,0.075979656,0.502516992,0.83150832,0.762632928,0.14322576,0.565108128,0.31217652,0.480237768
"03-Jul-00",6.837957144,4.030167456,2.103419592,2.687755104,4.518317352,5.22407592,5.637981168,4.441794984,3.955806264,2.27039964,2.960486232,4.944648024,3.364528296,3.090592152,4.64053524
"04-Jul-00",9.747696168,6.314636712,8.52582336,7.717412712,6.141629928,7.319259888,7.43715048,7.86041808,9.430616856,6.015875112,5.556349032,7.137533424,5.28165972,11.73962904,10.13491272
"05-Jul-00",0.226651872,0,0.205290048,0,0,0,0,0,0.206375256,0,0,0,0,0.22431648,0.204602016
"06-Jul-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07-Jul-00",2.644005072,2.63550264,3.185030232,2.116750176,1.689596232,2.17518408,0.725504448,2.679766056,1.836254232,1.1701776,1.228436184,3.394059768,5.85074688,2.935265064,0.601062264
"08-Jul-00",4.026339768,0.858291504,2.206795344,1.454719128,1.044754464,1.05355356,2.305978944,1.044798288,2.47564476,0.941778936,1.323692232,0.91183152,0.89254896,3.037752624,3.417562008
"09-Jul-00",7.016151672,4.062271008,3.934167984,5.27398968,6.423834096,4.493662488,2.371691832,4.300679328,3.551114928,11.145777216,6.37706064,3.04899108,6.479578968,8.217664008,4.749222648
"10-Jul-00",20.982574944,2.116427064,7.792007448,0.529861488,3.627342216,4.334049576,1.797061968,3.34637904,6.938979144,26.686657896,2.355269544,2.121792024,2.534251224,2.90541924,3.118149528
"11-Jul-00",2.636259912,2.029204488,1.822101648,3.86971092,1.017070512,0.932384664,1.084252872,0.87732312,1.794341688,4.081825368,3.226682784,0.799989144,1.944121416,2.669882112,1.92090744
"12-Jul-00",12.03898572,3.288900024,7.176939,2.67175752,3.300999648,3.238385808,4.093419672,3.830983392,4.765761504,2.99354088,4.81131864,3.283888944,4.921926144,11.91089916,4.006724592
"13-Jul-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14-Jul-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15-Jul-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16-Jul-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17-Jul-00",0,0.019736784,0.014099664,0.159210192,0,0.019164432,0.018472896,0.019022088,0,0.141765528,0.05659764,0.018610944,0.058277064,0,0
"18-Jul-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-Jul-00",0.029192712,0,0.012795624,0,0,0,0,0,0,0,0,0,0,0.03423504,0
"20-Jul-00",0.127731888,0,0.024535512,0,0,0,0,0,0.023698632,0,0,0,1.515002136,0.0370542,0.124346904
"21-Jul-00",0,0,0.023851824,0,0,0.011696424,0.055134528,0.011752416,0.023964696,0,0.011788128,0.03812916,0,0,0.135996744
"22-Jul-00",0.374856,0.252291072,0.30060288,0.40879884,0.290633064,0.27532056,0.196177944,0.250138992,0.228953016,0.370670736,0.20171304,0.254674248,0.184014,0.344434056,0.168523752
"23-Jul-00",0,0.053654136,0,0,0.05026332,0.041332968,0,0,0,0.090738168,0.154800288,0.04535856,0.121566888,0,0
"24-Jul-00",1.450139712,1.158963648,0.61212024,1.154558928,2.361520176,1.474480392,0.57998076,1.233640368,0.50916288,2.167514016,2.61951024,0.643294296,2.886778224,0.548418888,0.82620888
"25-Jul-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26-Jul-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27-Jul-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28-Jul-00",0,0.080973672,0,0,0.083386056,0,0.098318256,0,0,0.021988536,0.029021784,0,0.053127624,0,0
"29-Jul-00",0.078406488,0.041712408,0.043100784,0.450790056,0.041458824,0.042824976,0.04299528,0.042992544,0.170858712,0,0,0.042855576,1.149395856,0.079319352,0.174621984
