"date","Pixel15540521","Pixel15570522","Pixel15570521","Pixel15600520","Pixel15630520","Pixel15630519","Pixel15660518","Pixel15630518","Pixel15600519","Pixel15570519","Pixel15600518","Pixel15570518","Pixel15540518","Pixel15540519","Pixel15570520","Pixel15540520"
"16-Jun-00",9.047100312,7.618381272,7.174120176,3.865213032,6.41152668,4.883013,3.924937968,4.728836784,3.148816464,2.979085752,2.73202872,4.488670704,3.365634072,3.894775272,4.399352784,5.403846504
"17-Jun-00",8.308795464,7.935748824,6.999829536,2.907077544,3.356770992,3.654303432,3.262657632,2.997374112,2.101293672,2.327278008,2.060079936,3.046541328,1.937936256,3.27652644,3.082945344,4.5110346
"18-Jun-00",0.243087144,1.486196448,0.95438424,0.51945936,0.046852848,0.015392064,0.020540256,0.162271344,0.561659664,0.160405656,0.26053008,0.062009784,0.41380092,0.028868232,0.354870696,0.05901672
"19-Jun-00",0.95549556,0.562065624,0.329759976,0.228813072,0.125630688,0.083825472,0.19944552,0.120780336,0.190350576,0.17523804,0.126534576,0.141091224,0.138184704,0.230427264,0.434847984,0.327038496
"20-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25-Jun-00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26-Jun-00",0.824439624,0.128199696,0.187500144,0.33588132,0.199839528,0.962394744,0,2.394381336,0.380218368,0.428204664,1.024035312,1.032751224,1.57872408,1.244667024,0.37794672,1.184014776
"27-Jun-00",0.977909808,2.785813632,2.4186312,1.314747696,3.002230176,0.923676072,1.269877008,1.061202576,0.926139336,0.685038648,0.816195672,0.576007656,0.239855496,0.942685704,1.51693368,1.067015736
"28-Jun-00",2.865841992,1.859055696,1.621417872,1.889973696,2.44510836,2.944760448,4.393412232,6.514275312,3.64089096,3.287792808,4.476708048,3.653507352,3.010237464,2.516695272,2.618662128,3.095205912
"29-Jun-00",0.850013664,1.38406956,0.902361096,1.424085528,5.300795328,2.156249472,2.515405296,2.139384096,1.367875272,0.993620568,1.856326632,0.991597752,1.290900624,0.8752968,0.565059408,0.885767976
"30-Jun-00",1.35081624,1.791763896,3.422660712,1.74272364,8.449894656,10.339845648,6.756084672,10.303637976,1.688168592,7.56498456,1.863454872,1.207021152,1.148839392,1.149988344,7.588019376,1.20904764
"01-Jul-00",0.75766092,0.780091248,0.876379704,0.503834232,8.333448168,1.89455508,0.059993736,0.166669584,0.519654792,0.397822776,0.579458088,0.460058976,1.170736944,1.063816224,0.391211232,2.398347792
"02-Jul-00",0.37736208,0.139732152,0.292175064,0,0.016052496,0,0.021596064,0.078692136,0,0,0.075370632,0.020218368,0.065371872,0.1655388,0.514205352,0.131146056
"03-Jul-00",0.16882332,0.427161,0.353905824,2.132689296,12.99161052,13.499394888,5.761242984,9.680593008,2.392150992,1.125921432,1.930037688,1.521363792,0.432416832,0.584657064,1.278437544,0.157471512
"04-Jul-00",3.600558048,3.844214568,3.808285128,4.179268968,5.060481192,4.475934144,7.108559856,6.47374464,3.738645672,3.10071408,4.363363992,2.474125752,3.161368128,2.994056592,2.93063808,3.60809148
