"date","Pixel15810514","Pixel15810515","Pixel15840512","Pixel15750512","Pixel15780512","Pixel15810512","Pixel15810516","Pixel15750516","Pixel15750515","Pixel15780517","Pixel15750514","Pixel15720513","Pixel15780516","Pixel15780515","Pixel15750513","Pixel15780513","Pixel15810513","Pixel15780514"
"03-Nov-20",0,0,0,0,0,0,0.110157288,1.31780112,0.05619636,0.237670776,0,0.048362424,1.701909,0.106450368,0,0,0,0
"04-Nov-20",0,0.01170084,0,0,0,0,0.332567904,1.577090088,0.876114432,1.687969392,0.014938848,0.012195192,1.092053256,0.874947936,0,0,0,0.034927008
"05-Nov-20",0,0,0,0,0,0,0,0,0,0,0.018319632,0,0,0,0.018862824,0,0,0
"06-Nov-20",0.677017584,0.545987472,0.450031488,3.265124568,1.621859376,0.661459872,0.408596232,3.11289024,2.256495768,1.117797816,2.961336504,4.224312912,2.751713088,1.58487456,3.325309032,1.65615732,0.679167408,1.648180056
"07-Nov-20",8.234762904,7.54084896,8.095971816,15.668520936,9.254874936,8.494026672,6.48933864,3.6510948,3.696531048,5.058387288,8.8687098,8.924301624,3.685497888,5.177408328,11.596675872,9.647101152,7.694347152,8.815725096
"08-Nov-20",7.313762424,7.9112742,9.535820256,5.225307216,4.864967112,7.520249616,6.948651552,5.86578012,8.266417992,5.363224632,6.924751992,4.967025528,6.81462336,7.163996448,4.54108608,5.468836776,7.744026672,6.285218232
"09-Nov-20",0.9305976,1.35350364,0.62132844,0.827103576,1.18856148,1.07976732,1.521226824,2.039806008,1.36143636,2.0629626,0.80995416,0.59247468,1.254410496,1.057407168,1.02613476,0.837473448,0.919695576,0.936414864
"10-Nov-20",0,0,0.314133312,1.287903072,1.152127416,0.086730648,0.078607752,0.323717808,0.503221296,2.24715864,0.151993296,0.166769808,0.529825368,0.113565048,0.093260232,0,0,0.067570872
"11-Nov-20",15.740585808,16.26935148,15.679883472,9.160619976,13.665743352,15.574680816,16.641762264,10.618021488,9.598861464,13.881902208,8.731422192,7.621498344,14.274304392,13.722866544,9.32472468,13.385242944,15.601153848,15.08837844
"12-Nov-20",2.756588808,2.646855888,4.06992996,3.611325144,3.692570328,4.258513224,2.976039648,2.809672584,2.203673784,2.884816464,2.580106248,4.052754168,3.005712744,2.278138704,3.5714196,3.579702624,3.55195284,2.664414528
